<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100
@

<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Veggies							// Category Name
		CaninaBerry,			*,		100,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		-1	// Sellvalue -1 means it can not be selled
		Flaregun,               W,		8000,		40
		MakarovIJ70,			W,		1000,	50
		CZ75,					W,		1350,	70
		FNX45,					W,		1750,	90
		Glock19,				W,		3000,	130
		MKII,					W,		3200,	160
		Colt1911,				W,		3400,	180

        // Modded Sidearms
        TTC_Glock17, W, 45000, 7500
        TTC_P320, W, 15000, 7500
        TTC_M9, W, 7500, 3500
        TTC_M9_Custom, W, 45000, 7500
		TTC_Kimber, W, 7500, 3500
        TTC_44Magnum, W, 20000, 7500
        TTC_44Magnum_Black, W, 20000, 7500
        TTC_Deagle, W, 45000, 7500

	<Category> Rifles

    //  Vanilla Rifles
    	Izh18,					W,		3500,	1750
		Mosin9130,				W,		40000,	2000
		CZ527,					W,		5000,	2500
		Winchester70,			W,		50000,	2500
		SKS,					W,		6000,	3000
		
		<Category> Rev_Guns
	//   Revs Guns
	    Rev_WA2000,	      		 	 	 W,		15000,		4000
		Rev_ARX160,	 					 W,		15000,		4000
		Rev_Tac21,						 W,		15000,		4000
		Rev_HoneyBadger300BO_Black,		 W,		15000,		5000
		Rev_R700,	     				 W,		15000,		4000
		Rev_AK15,	     			     W,		15000,		4000
		Rev_AKU15,						 W,		15000,		4000
		Rev_AK12,	 					 W,		15000,		5000
		Rev_AKU12,		 				 W,		15000,		1000
		Rev_AK19,	    				 W,		9000,		1000
		Rev_AKU19,	    				 W,		15000,		4000
		Rev_RPK16_762,	    			 W,		15000,		4000
		Rev_RPK16,		  				 W,		15000,		4000
		Rev_RPK16_556,					 W,		15000,		5000
		Rev_AR15,						 W,		15000,		1000
		Rev_ACR_Tan,					 W,		9000,		1000
		Rev_M110_Black, 				 W,		15000,		5000
		Rev_Spas12,						 W,		15000,		4000
		Rev_SR25_Tan,					 W,		15000,		4000
		Rev_ACR17,						 W,		15000,		5000
		Rev_MG3,						 W,		15000,		1000
		Rev_FALTactical,				 W,		9000,		1000
		Rev_M1Garand,	    			 W,		30000,		4000
		Rev_HT76,	    				 W,		30000,		4000
		Rev_HK417,						 W,		15000,		4000
		JebsGuns_GoldenFang,			 W,		15000,		4000
		JebsGuns_M1A_Sneaks,			 W,		15000,		4000
		JebsGuns_MBR_Black,				 W,		15000,		5000
		JebsGuns_L85A2_Black,			 W,		15000,		1000
		JebsGuns_KrissVector_Black,		 W,		9000,		1000

    //  Modded Rifles
		
	<Category> Shotguns

    //  Vanilla Shotguns
		Mp133Shotgun,			W,		5000,	2500
		Izh43Shotgun,			W,		9000,	4000
		Saiga,					W,		15000,	6000
		
    //  Modded Shotguns
        TTC_Mossberg, W, 20000, 7500
        TTC_Maverick, W, 20000, 7500

	<Category> Submachine Guns

    //  Vanilla Submachine Guns
		CZ61,					W,		7000,	3000
		UMP45,					W,		8000,	3500
		MP5K,					W,		10000,	4500
		AKS74U,					W,		11000,	6000
	
    //  Modded Submachine Guns	
        TTC_STG44, W, 20000, 7500
        TTC_MP5SD, W, 45000, 7500
        TTC_MPX, W, 45000, 7500
        TTC_PP91, W, 45000, 7500
        TTC_UZI, W, 45000, 7500
        TTC_MP7A1, W, 45000, 7500
        TTC_AG3, W, 45000, 7500
        TTC_Raptr, W, 50000, 7500
        TTC_MCX, W, 45000, 7500
        TTC_MCX_Tan, W, 45000, 7500
        TTC_MCX_300blk, W, 45000, 7500
        TTC_MCX_Tan_300blk, W, 45000, 7500
        TTC_MCX_Spear, W, 40000, 7500
        TTC_MCX_Spear_Black, W, 40000, 7500

	<Category> Assault Rifles

    //  Vanilla Assault Rifles	
		FAL,					W,		1000,	4500
		AKM,					W,		1500,	7500
		AK101,					W,		1500,	7500
		AK74,					W,		1600,	7500
		M4A1,					W,		1500,	7500
	
	//  Modded Assault Rifles
        TTC_L85, W, 20000, 7500
        TTC_KAC, W, 20000, 7500
        TTC_MK18, W, 20000, 7500
        TTC_MK18_Black, W, 20000, 7500
        TTC_TAVOR, W, 20000, 7500
        TTC_TAVOR_DMR, W, 20000, 7500
        TTC_TAVOR_DMR, W, 20000, 7500
        TTC_HK416Comp, W, 20000, 7500
        TTC_VHS, W, 45000, 7500
        TTC_CAR15, W, 45000, 7500
        TTC_HK417, W, 20000, 7500
        TTC_HK416Tan, W, 20000, 7500
        TTC_HK416OD, W, 20000, 7500
        TTC_HK416Black, W, 20000, 7500
        TTC_SG552, W, 20000, 7500
        TTC_SG552_Wood, W, 20000, 7500
        TTC_SG552_Black, W, 20000, 7500
        TTC_SG550, W, 20000, 7500
        TTC_SG550_Black, W, 20000, 7500
        TTC_SG550_Pink, W, 20000, 7500
        TTC_M16, W, 20000, 7500
        TTC_AEK973, W, 20000, 7500
        TTC_AACHoney, W, 20000, 7500
        TTC_AACHoney_B, W, 20000, 7500
        TTC_AACHoney_300blk, W, 20000, 7500
        TTC_AACHoney_300blk_B, W, 20000, 7500
        TTC_SCARHBlack, W, 20000, 7500
        TTC_SCARL, W, 20000, 7500
        TTC_SCARLSnow, W, 20000, 7500
        TTC_SCARLBlack, W, 20000, 7500
        TTC_M16A4, W, 20000, 7500
        TTC_AK12, W, 20000, 7500
        TTC_AK12_Worn, W, 20000, 7500
        TTC_G3, W, 20000, 7500
        TTC_Mk47, W, 45000, 7500
        TTC_AKM, W, 45000, 7500
        TTC_AKMod, W, 20000, 7500
        TTC_AKMod_Gold, W, 40000, 17500
        TTC_AKMod_Snow, W, 20000, 7500
        TTC_AKMod_Multi, W, 20000, 7500
        TTC_AKMod_Digi, W, 20000, 7500
        TTC_AKMod_Tan, W, 20000, 7500
        TTC_AKModPK, W, 25000, 7500
        TTC_AKModPK_Gold, W, 25000, 7500
        TTC_AKModPK_Snow, W, 25000, 7500
        TTC_AKModPK_Multi, W, 25000, 7500
        TTC_AKModPK_Digi, W, 25000, 7500
        TTC_AKModPK_Tan, W, 25000, 7500
        TTC_BAR, W, 20000, 7500
		
		
	<Category> Sniper Rifles

    //  Vanilla Sniper Rifles	
		VSS,					W,		16000,	9600
		B95,					W,		17000,	11000
		SVD,					W,		20000,	12000

    //  Modded Sniper Rifles
        TTC_kar98k, W, 20000, 7500
        TTC_Winchester1873, W, 20000, 7500
        TTC_AVS36, W, 45000, 7500
        TTC_LeeEnfield, W, 20000, 7500
        TTC_M1Garand, W, 20000, 7500
        TTC_M1A_Black, W, 45000, 7500
        TTC_M1A_Green, W, 45000, 7500
        TTC_M1A_Tan, W, 45000, 7500
        TTC_M1A_Snow, W, 45000, 7500
        TTC_MAS36, W, 20000, 7500
        TTC_FAL, W, 45000, 7500
        TTC_R700, W, 20000, 7500
        TTC_R700_Black, W, 20000, 7500
        TTCSR25, W, 20000, 7500
        TTCSR25_Desert, W, 20000, 7500
        TTCSR25_Snow, W, 20000, 7500
        TTCSR25_OD, W, 20000, 7500
        TTC_M14, W, 20000, 7500
        TTC_M14_Camo, W, 20000, 7500
        TTC_M14_Snow, W, 20000, 7500
        TTC_HKG28, W, 20000, 7500
        TTC_M4Tac, W, 20000, 7500
        TTC_M4Tac_Black, W, 45000, 7500
        TTC_MRAD, W, 20000, 7500
        TTC_XM2010, W, 20000, 7500
        TTC_SVT40, W, 45000, 7500
        TTC_M1903, W, 45000, 7500
        TTC_M24, W, 40000, 7500
        TTC_M24_Bjorn, W, 40000, 7500
        TTC_M24_Woodland, W, 40000, 7500
        TTC_M24_WoodlandOld, W, 40000, 7500
        TTC_M24_NEW_Wood, W, 45000, 7500
        TTC_M24_NEW_Black, W, 45000, 7500
        TTC_M24_NEW_Camo, W, 45000, 7500
        TTC_M24_NEW_CamoW, W, 45000, 7500
        TTC_M24New_mag_5rnd, W, 45000, 7500
        TTC_GEVAR43, W, 80000, 7500
        TTC_GEVAR43_Green, W, 80000, 7500
        TTC_GEVAR43_Tan, W, 80000, 7500
        TTC_GEVAR43_silver, W, 80000, 7500
        TTC_FD338, W, 40000, 7500
        TTC_M4DMR, W, 20000, 7500
        TTC_M4DMROD, W, 20000, 7500
        TTC_M4DMRDesert, W, 20000, 7500
        TTC_M4DMRSNOW, W, 20000, 7500
        TTC_M110, W, 20000, 7500
        TTC_M110_Black, W, 20000, 7500

	<Category> Grenades
		RGD5Grenade,			1,		5000,	1000
		M67Grenade,				1,		5000,	1000
		M18SmokeGrenade_Red,	1,		3000,	1000
		M18SmokeGrenade_Green,	1,		3000,	1000
		M18SmokeGrenade_Yellow,	1,		3000,	1000
		M18SmokeGrenade_Purple,	1,		3000,	1000
		M18SmokeGrenade_White,	1,		3000,	1000
		RDG2SmokeGrenade_Black,	1,		3000,	1000
		RDG2SmokeGrenade_White,	1,		3000,	1000
		FlashGrenade,			1,		3000,	1000
		
		
        // When changing Prices here keep in Mind that Players
		// can just unpack the Ammoboxes and sell the Ammo seperatly!
		// Originally the Ammoboxes buying Price is 20% less than
		// buying single Ammo. The Selling Price is the same as
		// selling the Ammo seperately.

<Trader> Weapon Supplies
	<Category> Ammunition
		Ammo_380,				1,		100,		-1
		Ammo_9x19,				1,		100,		-1
		Ammo_22,				1,		100,		-1
		Ammo_45ACP,				1,		100,		-1
		Ammo_12gaPellets,		1,		300,		10
		Ammo_12gaSlug,			1,		400,		20
		Ammo_9x39AP,			1,		500,		30
		Ammo_308Win,			1,		500,		30
		Ammo_545x39,			1,		500,		30
		Ammo_556x45,			1,		500,		30
		Ammo_762x39,			1,		500,		30
		Ammo_762x54,			1,		1000,		60		
		Ammo_556x45Tracer,		1,		1000,		50
		Ammo_545x39Tracer,		1,		1000,		50
		Ammo_308WinTracer,		1,		1000,		50
		Ammo_762x39Tracer,		1,		1000,		50
		Ammo_Flare,				1,		1005,		70
	    Ammo_FlareBlue,			1,		1005,		70
	    Ammo_FlareGreen,		1,		1005,		70
	    Ammo_FlareRed,			1,		1005,		70
		Ammo_762x54Tracer,		1,		2000,		120		
		AmmoBox_380_35rnd,		*,		2800,		-1
		AmmoBox_9x19_25rnd,		*,		2000,		-1
		AmmoBox_45ACP_25rnd,	*,		2000,		-1
		AmmoBox_22_50Rnd,		*,		6000,		20
		AmmoBox_00buck_10rnd,	*,		2400,		10
		AmmoBox_12gaSlug_10Rnd,	*,		3200,		20
		AmmoBox_9x39_20Rnd,		*,		3200,		20
		AmmoBox_9x39AP_20Rnd,	*,		800,		60
		AmmoBox_308Win_20Rnd,	*,		800,		60
		AmmoBox_545x39_20Rnd,	*,		800,		60
		AmmoBox_556x45_20Rnd,	*,		800,		60
		AmmoBox_762x39_20Rnd,	*,		800,		60
		AmmoBox_762x54_20Rnd,	*,		2000,	120		
		AmmoBox_308WinTracer_20Rnd,		*,		1600,	80
		AmmoBox_545x39Tracer_20Rnd,		*,		1060, 	80
		AmmoBox_556x45Tracer_20Rnd,		*,		1600,	80
		AmmoBox_762x39Tracer_20Rnd,		*,		1600,	80
		AmmoBox_762x54Tracer_20Rnd,		*,		4000,	200
        TTC_Ammo_8mm, 1, 20, 12
        TTC_AmmoBox_8mm_20Rnd, *, 400, 200
        TTC_AmmoBox_300blk_20rnd, *, 400, 200
        TTC_Ammo_300blk, *, 400, 200
        TTC_AmmoBox_338mm_10Rnd, *, 400, 200
        TTC_Ammo_338, *, 400, 200
        TTC_AmmoBox_50Beo_20rnd, *, 400, 200
        TTC_Ammo_50Beo, *, 400, 200
        TTC_Ammobox_50BMG_10rnd, *, 1000, 200
        TTC_Ammo_50BMG, *, 1000, 200
        TTC_AmmoBox_303_20Rnd, *, 400, 200
        TTC_Ammo_303, *, 400, 200
        TTC_AmmoBox_3006_20Rnd, *, 1000, 200
        TTC_Ammo_3006, *, 1000, 200
        TTC_AmmoBox_4570_20Rnd, *, 1000, 200
        TTC_Ammo_4570, *, 1000, 200
        TTC_Ammo_50AE, *, 1000, 200
        TTC_AmmoBox_4630_20Rnd, *, 400, 200
        TTC_Ammo_4630, *, 400, 200
        TTC_AmmoBox_792x33_20Rnd, *, 400, 200
        TTC_Ammo_792x33, *, 400, 200
        TTC_AmmoBox_50AE, *, 1000, 200
        TTC_Ammo_277, *, 400, 200
        TTC_AmmoBox_277_20Rnd, *, 1000, 200
        TTC_Ammo_44Mag, *, 400, 200
        TTC_AmmoBox_44Mag, *, 400, 200
		<Category> REV_attachments
		Rev_Tac21_Bttstck,					*,		150,	60
		Rev_R700_Suppressor,		        *,		250,	100
		Rev_AK_Bttstck,						*,		300,	120
		JebsGuns_KrissVector_Suppressor,    *,		500,	200
	
	<Category> Rev_Guns/Ammo
		Ammo_300WinMagnum,		              1,		250,		-1
		Rev_Ammo_300BO,		                  1,		250,		-1
		Rev_Ammo_408,		                  1,		10,		-1
		Rev_Ammo_338,		 				  1,		10,		-1
		Rev_Ammo_68SPC,		     			  1,		30,		1
		Rev_Ammo_50BW,		  				  1,		40,		2
		JebsGuns_Ammo_45_70,		 		  1,		40,		2
		Rev_Mag_WA2000_5rnd,			      M,		300,		15
		Rev_Mag_ARX160_30rnd,				  M,		400,		20
		Rev_Mag_Tac21_5rnd,					  M,		400,		20
		Rev_Mag_HoneyBadger_30rnd,			  M,		400,		20
		Rev_Mag_HoneyBadger_50rnd,			  M,		400,		20
		Rev_Mag_HoneyBadger_100rnd,			  M,		400,		20
		Rev_Mag_M200_7rnd,				  	  M,		600,		30
		Rev_Mag_R700_7rnd,				      M,		1000,	50
		Rev_Mag_AK15_30rnd,					  M,		1500,	75
		Rev_Mag_AK12_30rnd,				      M,		400,		20
		Rev_Mag_AK19_30rnd,				      M,		400,		20
		Rev_Mag_RPK16_75rnd_762,			  M,		400,		20
		Rev_Mag_RPK16_96rnd,				  M,		600,		30
		Rev_Mag_RPK16_96rnd_556,			  M,		1000,	50
		Rev_Mag_ACR_30rnd,					  M,		1500,	75
		Rev_Mag_M110_10rnd,				      M,		400,		20
		Rev_Mag_M110_20rnd,				      M,		600,		30
		Rev_Mag_M134_250rnd,				  M,		1000,	50
		Rev_Mag_Beowulf_10rnd,				  M,		1500,	75
		Rev_Mag_SRSA2_10rnd,				  M,		400,		20
		Rev_Mag_SR25_10rnd,				  	  M,		600,		30
		Rev_Mag_SR25_20rnd,				  	  M,		1000,	50
		Rev_Mag_ACR17_30rnd,				  M,		1500,	75
		Rev_Mag_MG3_75rnd,				      M,		1000,	50
		Rev_Mag_HT76_30Rnd,					  M,		1500,	75
		Rev_Mag_HK417_20rnd,				  M,		1000,	50
		JebsGuns_Mag_M1A_20rnd_45_70,		  M,		1500,	75
		JebsGuns_Mag_L85A2_30rnd,			  M,		1000,	50
		JebsGuns_Mag_KrissVector_30rnd,		  M,		1500,	75
		JebsGuns_Mag_VSSK_5rnd,				  M,		1000,	50
		Rev_Mag_M96_5rnd,			     	  M,		1000,	50

	<Category> Magazines

    //  Vanilla Magazines

		Mag_IJ70_8Rnd,			M,		300,		150
		Mag_CZ75_15Rnd,			M,		400,		200
		Mag_Glock_15Rnd,		M,		400,		200
		Mag_MKII_10Rnd,			M,		400,		200
		Mag_1911_7Rnd,			M,		400,		200
		Mag_FNX45_15Rnd,		M,		400,		200
		Mag_CZ527_5rnd,			M,		600,		300
		Mag_CZ61_20Rnd,			M,		1000,	500
		Mag_UMP_25Rnd,			M,		1050,	750
		Mag_MP5_30Rnd,			M,		2000,	1000
		Mag_FAL_20Rnd,			M,		1000,	500
		Mag_Saiga_5Rnd,			M,		1000,	500
		Mag_Saiga_8Rnd,			M,		2020,	600
		Mag_Saiga_Drum20Rnd,	M,		4000,	1100
		Mag_AKM_30Rnd,			M,		2020,	1100
		Mag_AKM_Palm30Rnd,		M,		2020,	1100
		Mag_AKM_Drum75Rnd,		M,		4800,	2200
		Mag_AK101_30Rnd,		M,		2200,	1100
		Mag_AK74_30Rnd,			M,		2200,	1100
		Mag_STANAG_30Rnd,		M,		2200,	1100
		Mag_STANAGCoupled_30Rnd,M,		4800,	2200
		Mag_CMAG_10Rnd,			M,		1200,	600
		Mag_CMAG_20Rnd,			M,		1800,	800
		Mag_CMAG_30Rnd,			M,		2200,	1100
		Mag_CMAG_40Rnd,			M,		3000,	1500
		Mag_VSS_10Rnd,			M,		2200,	1100
		Mag_SVD_10Rnd,			M,		2500,	1250
		Mag_308WinSnaploader_2Rnd,		M,		2500,	1250

    //  Modded Magazines
        Mag_SG_30Rnd, M, 500, 250
        TTC_308Stanag, M, 200, 100
        TTC_300Stanag, M, 200, 100
        TTC_300Cmag, M, 200, 100
        TTC_338mag_10rnd, M, 200, 100
        TTC_M24mag_5rnd, M, 200, 100
        TTC_SCARHMag, M, 200, 100
        TTC_50Beo_mag, M, 200, 100
        TTC_DMR_556Stanag_30rnd, M, 200, 100
        TTC_DMR_556Stanag_30rnd_camo, M, 200, 100
        TTC_DMR_556Stanag_30rnd_Digitan, M, 200, 100
        TTC_DMR_556Stanag_30rnd_Tan, M, 200, 100
        TTC_DMR_556Stanag_30rnd_UPC, M, 200, 100
        TTC_DMR_556Stanag_100rnd, M, 500, 100
        TTC_DMR_556Stanag_100rnd_camo, M, 500, 100
        TTC_DMR_556Stanag_100rnd_Digitan, M, 500, 100
        TTC_DMR_556Stanag_100rnd_Tan, M, 500, 100
        TTC_DMR_556Stanag_100rnd_UPC, M, 500, 100
        TTC_DMR_556Pmag_30rnd, M, 200, 100
        TTC_DMR_556Pmag_30rnd_camo, M, 200, 100
        TTC_DMR_556Pmag_30rnd_Digitan, M, 200, 100
        TTC_DMR_556Pmag_30rnd_Tan, M, 200, 100
        TTC_DMR_556Pmag_30rnd_UPC, M, 200, 100
        TTC_DMR_556Pmag_40rnd, M, 200, 100
        TTC_DMR_556Pmag_40rnd_camo, M, 200, 100
        TTC_DMR_556Pmag_40rnd_Digitan, M, 200, 100
        TTC_DMR_556Pmag_40rnd_Tan, M, 200, 100
        TTC_DMR_556Pmag_40rnd_UPC, M, 200, 100
        TTC_DMR_556Pmag_100rnd, M, 200, 100
        TTC_DMR_556Pmag_100rnd_camo, M, 200, 100
        TTC_DMR_556Pmag_100rnd_Digitan, M, 200, 100
        TTC_DMR_556Pmag_100rnd_Tan, M, 200, 100
        TTC_DMR_556Pmag_100rnd_UPC, M, 200, 100
        TTC_DMR_762Stanag_20rnd, M, 200, 100
        TTC_DMR_762Stanag_20rnd_camo, M, 200, 100
        TTC_DMR_762Stanag_20rnd_Digitan, M, 200, 100
        TTC_DMR_762Stanag_20rnd_Tan, M, 200, 100
        TTC_DMR_762Stanag_20rnd_UPC, M, 200, 100
        TTC_DMR_762Stanag_10rnd, M, 200, 100
        TTC_DMR_762Stanag_10rnd_camo, M, 200, 100
        TTC_DMR_762Stanag_10rnd_Digitan, M, 200, 100
        TTC_DMR_762Stanag_10rnd_Tan, M, 200, 100
